PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,Ano
AJ Price,MIN,27,6/2,195,Connecticut,USA,2009,2,52,28,44,10,13,0.9,0.80%,7.50%,21.30%,46.90%,27.10%,2013
Aaron Brooks,DEN,29,6/1,161,Oregon,USA,2007,1,26,72,645,140,233,-2.6,2.70%,6.10%,20.10%,51.80%,23.80%,2013
Aaron Gray,SAC,29,7/1,270,Pittsburgh,USA,2007,2,49,37,65,111,22,-11.1,11.30%,19.90%,12.20%,46.60%,9.20%,2013
Adonis Thomas,PHI,21,6/7,240,Memphis,USA,Undrafted,Undrafted,Undrafted,6,14,3,3,17.2,0.00%,7.90%,17.60%,48.50%,11.50%,2013
Al Harrington,WAS,34,6/9,245,None,USA,1998,1,25,34,225,80,28,4.7,3.20%,13.80%,22.50%,50.60%,8.90%,2013
Al Horford,ATL,28,6/10,250,Florida,Dominican Rep...,2007,1,3,29,538,244,76,3.1,7.20%,18.90%,24.40%,58.80%,13.90%,2013
Al Jefferson,CHA,29,6/10,289,None,USA,2004,1,15,73,"1,594.00",792,155,0.5,6.30%,24.70%,29.30%,53.20%,12.20%,2013
Al-Farouq Aminu,NOP,23,6/9,215,Wake Forest,USA,2010,1,8,80,572,496,114,-5.4,6.40%,18.80%,14.00%,51.60%,8.30%,2013
Alan Anderson,BKN,31,6/6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,78,564,175,81,-1.2,2.40%,7.80%,15.60%,52.50%,7.40%,2013
Alec Burks,UTA,22,6/6,211,Colorado,USA,2011,1,12,78,"1,089.00",257,212,-6.6,2.70%,9.50%,23.20%,54.70%,16.80%,2013
Alex Len,PHX,21,7/1,255,Maryland,Ukraine,2013,1,5,42,86,99,4,-8.2,10.60%,17.10%,13.40%,46.90%,1.70%,2013
Alexey Shved,MIN,25,6/6,187,None,Russia,Undrafted,Undrafted,Undrafted,63,250,81,68,-2.9,2.80%,9.00%,20.60%,45.20%,16.20%,2013
Alexis Ajinca,NOP,26,7/2,248,None,France,2008,1,20,56,328,277,40,-4.8,10.60%,20.10%,16.30%,58.90%,6.70%,2013
Allen Crabbe,POR,22,6/6,210,California,USA,2013,2,31,15,33,9,6,-0.5,1.00%,7.70%,15.40%,47.50%,8.80%,2013
Alonzo Gee,CLE,27,6/6,225,Alabama,USA,Undrafted,Undrafted,Undrafted,65,258,149,47,-9.7,3.30%,11.00%,13.20%,49.10%,7.10%,2013
Amar'e Stoudemire,NYK,31,6/11,245,None,USA,2002,1,9,65,772,320,34,-6.2,8.00%,15.50%,23.60%,59.60%,4.40%,2013
Amir Johnson,TOR,27,6/9,210,No College,USA,2005,2,56,77,799,505,115,4.3,8.00%,15.30%,16.20%,59.20%,8.50%,2013
Anderson Varejao,CLE,31,6/11,267,None,Brazil,2004,2,30,65,546,629,140,1.7,10.00%,25.30%,14.50%,52.70%,12.20%,2013
Andray Blatche,BKN,27,6/11,260,None,USA,2005,2,49,73,821,390,112,0.6,7.90%,17.60%,24.80%,53.20%,12.60%,2013
Andre Drummond,DET,20,6/10,270,Connecticut,USA,2012,1,9,81,"1,095.00","1,071.00",35,-4.2,15.70%,25.30%,16.60%,59.90%,2.10%,2013
Andre Iguodala,GSW,30,6/6,207,Arizona,USA,2004,1,9,63,588,293,263,13.5,2.70%,11.20%,13.30%,57.00%,17.00%,2013
Andre Miller,WAS,38,6/2,200,Utah,USA,1999,1,8,58,283,130,197,2.2,2.90%,10.00%,14.80%,53.40%,30.70%,2013
Andre Roberson,OKC,22,6/7,210,Colorado,USA,2013,1,26,40,75,94,15,3.2,9.60%,13.50%,9.90%,51.80%,5.10%,2013
Andrea Bargnani,NYK,28,7/1,250,None,Italy,2006,1,1,42,558,222,45,-6.1,5.30%,13.70%,22.00%,51.00%,6.30%,2013
Andrei Kirilenko,BKN,33,6/9,235,None,Russia,1999,1,24,45,226,146,72,-2.9,6.80%,11.60%,14.20%,53.20%,13.10%,2013
Andrew Bogut,GSW,29,7/1,260,Utah,Australia,2005,1,1,67,492,671,112,9,10.70%,26.40%,12.30%,61.00%,8.70%,2013
Andrew Bynum,IND,26,7/1,285,None,USA,2005,1,10,26,225,145,29,-12.7,9.50%,17.40%,23.70%,45.60%,9.90%,2013
Andrew Nicholson,ORL,24,6/9,250,St. Bonaventure,Canada,2012,1,19,76,435,255,25,-6.8,4.50%,16.90%,19.10%,48.90%,3.70%,2013
