Date,Team,Acquired,Relinquished,Notes
10/3/2010,Bulls,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely)
10/6/2010,Pistons,,Jonas Jerebko,torn right Achilles tendon (out indefinitely)
10/6/2010,Pistons,,Terrico White,broken fifth metatarsal in right foot (out indefinitely)
10/8/2010,Blazers,,Jeff Ayres,torn ACL in right knee (out indefinitely)
10/8/2010,Nets,,Troy Murphy,strained lower back (out indefinitely)
10/8/2010,Pistons,,Jonas Jerebko,surgery to repair torn right Achilles tendon
10/8/2010,Pistons,,Terrico White,surgery on right foot to repair broken fifth metatarsal
10/9/2010,Nuggets,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely)
10/12/2010,Bucks,,Darington Hobson,surgery on left hip (out for season)
10/12/2010,Kings,,Samuel Dalembert,strained left groin (out indefinitely)
10/17/2010,Bobcats,,Dominic McGuire,stress fracture in left shin (out indefinitely)
10/18/2010,Warriors,,Lou Amundson,surgery to repair fractured right index finger (out indefinitely)
10/19/2010,Suns,,Josh Childress,fractured right index finger (out indefinitely)
10/22/2010,Heat,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely)
10/25/2010,Thunder,,Nick Collison,left knee injury (out indefinitely)
10/25/2010,Timberwolves,,Martell Webster,surgery on back (out indefinitely)
10/26/2010,Blazers,,Elliot Williams,placed on IL
10/26/2010,Blazers,,Greg Oden,placed on IL with left knee injury (out for season)
10/26/2010,Blazers,,Joel Przybilla,placed on IL placed on IL recovering from surgery on right knee to repair ruptured patella tendon
10/26/2010,Celtics,,Avery Bradley,placed on IL recovering from surgery on left ankle
10/26/2010,Celtics,,Kendrick Perkins,placed on IL recovering from surgery on right knee to repair torn ACL
10/26/2010,Celtics,,Luke Harangody,placed on IL
10/26/2010,Heat,,Dexter Pittman,placed on IL
10/26/2010,Heat,,Jerry Stackhouse,placed on IL
10/26/2010,Heat,,Mario Chalmers,sprained ankle (out indefinitely)
10/26/2010,Heat,,Mike Miller,placed on IL recovering from surgery on right hand to repair a broken thumb and ligament damage
10/26/2010,Lakers,,Andrew Bynum,placed on IL recovering from surgery on right knee to repair torn ligaments
10/26/2010,Lakers,,Luke Walton,placed on IL with strained right hamstring
10/26/2010,Rockets,,Jermaine Taylor,placed on IL
10/26/2010,Rockets,,Kyle Lowry,placed on IL with back spasms
10/26/2010,Rockets,,Patrick Patterson,placed on IL
10/26/2010,Suns,,Gani Lawal,placed on IL
10/26/2010,Suns,,Matt Janning,placed on IL
10/27/2010,76ers,,Craig Brackins,placed on IL
10/27/2010,76ers,,Jodie Meeks,placed on IL
10/27/2010,Bobcats,,Dominic McGuire,placed on IL with stress fracture in left shin
10/27/2010,Bobcats,,Eduardo Najera,placed on IL with sports hernia
10/27/2010,Bobcats,,Kwame Brown,placed on IL with sprained left ankle
10/27/2010,Bucks,,Chris Douglas-Roberts,placed on IL with right eye injury
10/27/2010,Bucks,,Jon Brockman,sprained left ankle (DNP)
10/27/2010,Bucks,,Luc Mbah a Moute,sprained right ankle (DNP)
10/27/2010,Bucks,,Michael Redd,placed on IL recovering from surgery on left knee to repair torn ACL
10/27/2010,Bulls,,Carlos Boozer,placed on IL with fractured bone in right pinky finger
10/27/2010,Cavaliers,,Christian Eyenga,placed on IL
10/27/2010,Cavaliers,,Mo Williams,placed on IL with groin injury
10/27/2010,Cavaliers,,Samardo Samuels,placed on IL
10/27/2010,Clippers,,Craig Smith,placed on IL with back injury
10/27/2010,Clippers,,Willie Warren,placed on IL
10/27/2010,Grizzlies,,Greivis Vasquez,placed on IL recovering from surgery on right ankle to remove bone spur
10/27/2010,Grizzlies,,Marc Gasol,placed on IL with sprained right ankle / left ankle
10/27/2010,Hawks,,Etan Thomas,placed on IL
10/27/2010,Hawks,,Pape Sy,placed on IL with strained lower back
10/27/2010,Heat,,Jamaal Magloire,placed on IL
10/27/2010,Heat,Jerry Stackhouse,,activated from IL
10/27/2010,Hornets,,Aaron Gray,placed on IL
10/27/2010,Hornets,,Joe Alexander,placed on IL
10/27/2010,Hornets,,Quincy Pondexter,placed on IL
10/27/2010,Jazz,,Mehmet Okur,placed on IL recovering from surgery to repair torn left Achilles tendon
10/27/2010,Kings,,Antoine Wright,placed on IL
10/27/2010,Kings,,Samuel Dalembert,placed on IL with strained left abductor
10/27/2010,Knicks,,Anthony Randolph,placed on IL with sprained left ankle
10/27/2010,Knicks,,Eddy Curry,placed on IL with strained right hamstring
10/27/2010,Knicks,,Kelenna Azubuike,placed on IL recovering from arthroscopic surgery on right knee
10/27/2010,Mavericks,,Alex Ajinca,placed on IL
10/27/2010,Mavericks,,Rodrigue Beaubois,placed on IL with fractured left foot
10/27/2010,Mavericks,,Steve Novak,placed on IL
10/27/2010,Nets,,Ben Uzoh,placed on IL
10/27/2010,Nets,,Quinton Ross,placed on IL
10/27/2010,Nets,,Troy Murphy,placed on IL with strained lower back
10/27/2010,Nuggets,,Chris Andersen,placed on IL recovering from surgery on right knee to repair partially torn patella tendon
10/27/2010,Nuggets,,Kenyon Martin,placed on IL recovering from surgery on left knee
10/27/2010,Pacers,,A.J. Price,placed on IL
10/27/2010,Pacers,,Dahntay Jones,placed on IL
10/27/2010,Pacers,,Lance Stephenson,placed on IL
10/27/2010,Pistons,,Chris Wilcox,placed on IL with sore left hamstring
10/27/2010,Pistons,,Jonas Jerebko,placed on IL recovering from surgery to repair torn right Achilles tendon (out for season)
10/27/2010,Pistons,,Terrico White,placed on IL recovering from surgery on right foot to repair broken fifth metatarsal (out for season)
10/27/2010,Raptors,,Ed Davis ,placed on IL recovering from arthroscopic surgery on right kene to repair torn meniscus
10/27/2010,Raptors,,Marcus Banks,placed on IL
10/27/2010,Raptors,,Solomon Alabi,placed on IL
10/27/2010,Rockets,,Yao Ming,placed on IL
10/27/2010,Rockets,Jermaine Taylor,,activated from IL
10/27/2010,Spurs,,Alonzo Gee,placed on IL
10/27/2010,Spurs,,Tiago Splitter,placed on IL with strained right plantaris muscle / calf injury (CBC)
10/27/2010,Thunder,,B.J. Mullens,placed on IL
10/27/2010,Thunder,,Morris Peterson,placed on IL
10/27/2010,Thunder,,Nick Collison,placed on IL with stress reaction in lower left leg
10/27/2010,Timberwolves,,Jonny Flynn,placed on IL recovering from surgery on left hip
10/27/2010,Timberwolves,,Martell Webster,placed on IL recovering from surgery on back
10/27/2010,Timberwolves,,Maurice Ager,placed on IL with bruised left quadriceps
10/27/2010,Warriors,,Ekpe Udoh,placed on IL recovering from surgery on left wrist
10/27/2010,Warriors,,Jeremy Lin,placed on IL
10/27/2010,Warriors,,Lou Amundson,placed on IL recovering from surgery to repair fractured right index finger
10/28/2010,Grizzlies,,Zach Randolph,back injury (DTD)
10/28/2010,Hawks,,Maurice Evans,right knee inflammation (DTD)
10/28/2010,Magic,,Daniel Orton,placed on IL
10/28/2010,Magic,,Malik Allen,placed on IL
10/28/2010,Spurs,,Matt Bonner,sprained right ankle (DTD)
10/28/2010,Wizards,,Gilbert Arenas,placed on IL with sprained right ankle
10/28/2010,Wizards,,Josh Howard,placed on IL with torn ACL in left knee
10/28/2010,Wizards,,Kevin Seraphin,placed on IL
10/29/2010,Cavaliers,Samardo Samuels,,activated from IL
10/29/2010,Celtics,,Jermaine O'Neal,placed on IL with left knee injury
10/29/2010,Celtics,Luke Harangody,,activated from IL
10/29/2010,Grizzlies,,Zach Randolph,placed on IL with bruised tailbone
10/29/2010,Grizzlies,Marc Gasol,,activated from IL
10/29/2010,Hawks,,Maurice Evans,placed on IL with right knee inflammation
10/29/2010,Hawks,Etan Thomas,,activated from IL
10/29/2010,Heat,,Juwan Howard,placed on IL
10/29/2010,Heat,Jamaal Magloire,,activated from IL
10/29/2010,Heat,Mario Chalmers,,returned to lineup
10/29/2010,Kings,,Pooh Jeter,placed on IL
10/29/2010,Kings,,Hassan Whiteside,placed on IL
10/29/2010,Kings,Antoine Wright,,activated from IL
10/29/2010,Kings,Samuel Dalembert,,activated from IL
10/29/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
10/29/2010,Raptors,,Joey Dorsey,placed on IL
10/29/2010,Raptors,Marcus Banks,,activated from IL
10/29/2010,Warriors,,Jeff Adrien,placed on IL
10/29/2010,Warriors,Jeremy Lin,,activated from IL
10/30/2010,Cavaliers,,Samardo Samuels,placed on IL
10/30/2010,Grizzlies,,Xavier Henry,placed on IL
10/30/2010,Grizzlies,Greivis Vasquez,,activated from IL
10/30/2010,Pacers,,Jeff Foster,placed on IL
10/30/2010,Pacers,Dahntay Jones,,activated from IL
