PLAYER,TEAM,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,Ano
Zaza Pachulia,MIL,52,10,42,1310,453514,85.9,44,41.9,3.94,4.01,3.86,2013
Zach Randolph,MEM,79,49,30,2705,922134,174.6,92.2,82.4,3.88,3.9,3.85,2013
Xavier Henry,LAL,43,16,27,908,357114,67.6,35,32.7,4.49,4.82,4.2,2013
Wilson Chandler,DEN,62,27,35,1927,717124,135.8,71.2,64.6,4.24,4.62,3.9,2013
Willie Green,LAC,55,38,17,869,329326,62.4,32.3,30.1,4.32,4.58,4.06,2013
Will Bynum,DET,56,17,39,1054,377982,71.6,38.2,33.4,4.09,4.4,3.78,2013
Will Barton,POR,41,27,14,387,153770,29.1,15.7,13.4,4.52,4.9,4.15,2013
Wesley Matthews,POR,82,54,28,2780,1061117,201,111,90,4.35,4.76,3.93,2013
Wesley Johnson,LAL,79,27,52,2240,833305,157.8,80.3,77.5,4.24,4.49,4.01,2013
Wayne Ellington,DAL,45,23,22,393,151725,28.7,15.6,13.1,4.41,4.73,4.09,2013
Vitor Faverani,BOS,37,13,24,488,177930,33.7,17.9,15.8,4.15,4.35,3.95,2013
Vince Carter,DAL,81,49,32,1973,697538,132.1,72,60.2,4.03,4.37,3.7,2013
Victor Oladipo,ORL,80,23,57,2486,927698,175.7,93.8,81.9,4.25,4.5,4,2013
Victor Claver,POR,21,13,8,184,71070,13.5,7.1,6.4,4.42,4.86,4.01,2013
Viacheslav Kravtsov,PHX,20,13,7,59,22286,4.2,2.4,1.8,4.24,4.44,3.99,2013
Vander Blue,BOS,3,1,2,15,5428,1,0.5,0.5,4.09,4.6,3.69,2013
Udonis Haslem,MIA,46,30,16,653,231129,43.8,22.1,21.7,4.03,4.08,3.98,2013
Tyson Chandler,NYK,55,24,31,1662,566304,107.3,55.6,51.7,3.89,3.96,3.81,2013
Tyshawn Taylor,BKN,22,10,12,262,95204,18,9.8,8.3,4.14,4.34,3.97,2013
Tyreke Evans,NOP,72,32,40,2028,728677,138,75.4,62.6,4.09,4.39,3.78,2013
Tyler Zeller,CLE,70,27,43,1049,401384,76,39.7,36.3,4.36,4.68,4.06,2013
Tyler Hansbrough,TOR,63,37,26,962,359591,68.1,36.6,31.5,4.25,4.39,4.1,2013
Ty Lawson,DEN,62,29,33,2222,788044,149.3,78.5,70.7,4.04,4.43,3.68,2013
Troy Daniels,HOU,5,3,2,75,28703,5.4,2.8,2.7,4.34,4.9,4.01,2013
Tristan Thompson,CLE,82,33,49,2594,1016560,192.5,103,89.5,4.46,4.74,4.18,2013
Trey Burke,UTA,70,24,46,2262,861133,163.1,92.1,71,4.33,4.68,3.96,2013
Trevor Booker,WAS,71,36,35,1529,584776,110.8,58.2,52.6,4.35,4.62,4.1,2013
Trevor Ariza,WAS,76,41,35,2690,964048,182.6,92.4,90.2,4.08,4.2,3.96,2013
Travis Outlaw,SAC,63,22,41,1065,410236,77.7,41.5,36.2,4.4,4.55,4.25,2013
Toure' Murry,NYK,51,26,25,372,146925,27.8,14,13.8,4.49,4.7,4.29,2013
Tornike Shengelia,CHI,25,13,12,147,55395,10.5,5.6,4.9,4.3,4.45,4.14,2013
Tony Wroten,PHI,72,18,54,1765,671198,127.1,65.7,61.5,4.33,4.73,3.98,2013
Tony Snell,CHI,77,46,31,1231,453882,86,47.5,38.5,4.22,4.47,3.94,2013
Tony Parker,SAS,68,51,17,1997,805394,152.5,87.6,64.9,4.59,5.2,3.96,2013
Tony Mitchell,DET,21,6,15,79,27928,5.3,2.7,2.6,4.02,4.21,3.84,2013
Tony Mitchell,MIL,3,0,3,10,3650,0.7,0.4,0.3,4.31,5.29,3.45,2013
Tony Allen,MEM,55,31,24,1278,473630,89.7,47.3,42.4,4.24,4.42,4.06,2013
Toney Douglas,MIA,51,33,18,675,277775,52.6,27.3,25.3,4.69,4.86,4.52,2013
Tobias Harris,ORL,61,16,45,1850,700511,132.7,71.9,60.8,4.32,4.6,4.02,2013
Timofey Mozgov,DEN,82,36,46,1770,701679,132.9,70.1,62.8,4.51,4.96,4.1,2013
Tim Hardaway Jr.,NYK,81,37,44,1875,673631,127.6,66.4,61.2,4.09,4.16,4.02,2013
Tim Duncan,SAS,74,56,18,2158,740877,140.3,75.5,64.9,3.91,4.19,3.62,2013
Tiago Splitter,SAS,59,46,13,1271,487981,92.4,49.7,42.7,4.37,4.74,4.01,2013
Thomas Robinson,POR,70,47,23,873,332096,62.9,33.1,29.7,4.34,4.56,4.11,2013
Thaddeus Young,PHI,79,18,61,2718,1040800,197.1,102.9,94.3,4.37,4.8,3.99,2013
Thabo Sefolosha,OKC,61,44,17,1584,592057,112.1,55.9,56.2,4.26,4.38,4.14,2013
Terrence Ross,TOR,80,46,34,2137,820084,155.3,83.5,71.9,4.37,4.57,4.17,2013
Terrence Jones,HOU,76,51,25,2078,777809,147.3,78.8,68.5,4.27,4.6,3.94,2013
Tayshaun Prince,MEM,76,46,30,1948,700952,132.8,72.8,59.9,4.1,4.25,3.93,2013
Taj Gibson,CHI,82,48,34,2351,826161,156.5,84.1,72.3,4.01,4.18,3.82,2013
Steven Adams,OKC,81,59,22,1197,459729,87.1,45.2,41.9,4.37,4.61,4.15,2013
Steve Novak,TOR,54,28,26,540,206724,39.2,21.8,17.3,4.38,4.78,3.95,2013
Steve Nash,LAL,15,4,11,313,123469,23.4,12.7,10.7,4.5,5.05,3.98,2013
Steve Blake,GSW,55,31,24,1498,585305,110.9,60.9,50,4.45,4.89,4.01,2013
Stephen Jackson,LAC,9,6,3,107,35558,6.7,3.4,3.3,3.78,4.19,3.43,2013
